Blender 4.2.1 LTS (hash 396f546c9d82 built 2024-08-19 23:53:04)
Info: Total files 0 | Changed 0 | Failed 0
Fra:1 Mem:97.98M (Peak 97.98M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | gpu_bay_08
Fra:1 Mem:97.98M (Peak 97.98M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_psu_1
Fra:1 Mem:97.98M (Peak 97.98M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_psu_3
Fra:1 Mem:97.98M (Peak 97.98M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_ib_1
Fra:1 Mem:97.98M (Peak 97.98M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_ib_2
Fra:1 Mem:97.99M (Peak 97.99M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | status_led_matrix
Fra:1 Mem:97.99M (Peak 97.99M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | panel
Fra:1 Mem:97.99M (Peak 97.99M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | chassis.001
Fra:1 Mem:97.99M (Peak 97.99M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | chassis_nx.001
Fra:1 Mem:97.99M (Peak 97.99M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | chassis_py.001
Fra:1 Mem:98.00M (Peak 98.00M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | chassis_pz.001
Fra:1 Mem:98.00M (Peak 98.00M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | chassis_nz.001
Fra:1 Mem:98.00M (Peak 98.00M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field.001
Fra:1 Mem:98.00M (Peak 98.00M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_1_0.001
Fra:1 Mem:98.00M (Peak 98.00M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_3_0.001
Fra:1 Mem:98.01M (Peak 98.01M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_4_0.001
Fra:1 Mem:98.01M (Peak 98.01M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_6_0.001
Fra:1 Mem:98.01M (Peak 98.01M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_8_0.001
Fra:1 Mem:98.01M (Peak 98.01M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_9_0.001
Fra:1 Mem:98.01M (Peak 98.01M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_10_0.001
